system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev
758_0,79,8,8,8,27,10.5
759_0,40,136,2,5,7,1
760_0,69,0,2,8,18,9.5
761_0,79,0,2,7.5,26,11
762_0,45,128,2,5,11,2
763_0,39,128,2,4,7,1
764_0,45,128,2,5,12,2
765_0,20,128,2,9,3,2
771_0,14,136,0,7,2,1
773_0,34,129,2,6,8,2
774_0,39,128,2,5,9,2
775_0,31,129,2,3,6,1
777_0,13,128,0,7,2,1
778_0,0,160,97,0,0,0
779_0,40,8,2,8,7,2
780_0,12,128,0,7,2,1
781_0,33,128,0,7,8,2
782_0,44,0,0,10,8,3
783_0,73,0,2,9,21,10
784_0,85,1,48,7.5,39,11
785_0,17,136,2,8,3,1
786_0,25,128,2,6,4,1
790_0,54,128,0,4,16,2
791_0,61,128,0,4,17,2
792_0,55,128,0,3,11,1
793_0,29,132,2,5,6,1
794_0,76,0,2,8.5,26,11
795_0,54,0,2,8,12,3
796_0,45,128,2,5,11,1
797_0,10,128,2,6,2,1
798_0,40,128,0,5,10,2
799_0,29,128,2,7,6,1
800_0,66,0,2,10,18,5
801_0,9,136,0,0,1,0
802_0,22,128,2,8,4,1
803_0,31,128,0,4,5,1
804_0,56,136,2,4,16,2
805_0,16,136,0,7,2,1
807_0,84,0,18,7,37,12
808_0,19,136,8,4,3,1
809_0,59,8,0,9,13,3
810_0,9,136,2,0,1,0
811_0,12,128,2,7,2,1
812_0,55,128,2,4,14,2
813_0,24,136,2,5,3,1
814_0,40,128,0,6,10,2
815_0,13,128,0,7,2,1
816_0,34,128,2,1,6,0
817_0,23,128,0,8,4,2
818_0,10,128,0,0,1,0
819_0,49,128,2,5,13,2
820_0,14,137,2,4,3,1
822_0,57,8,2,9,13,4
823_0,38,136,2,5,7,1
824_0,9,128,0,0,1,0
826_0,14,136,0,7,2,1
828_0,42,4,2,9,7,2
829_0,40,128,0,5,9,2
830_0,16,128,2,8,3,1
832_0,54,128,2,4,14,2
834_0,10,128,0,0,1,0
835_0,46,128,2,5,11,1
836_0,31,128,2,5,8,2
837_0,18,128,2,7,3,1
838_0,59,1,2,9,13,5
840_0,53,128,2,4,15,2
841_0,13,128,0,7,2,1
842_0,26,128,0,7,5,1
843_0,42,128,0,4,7,1
844_0,26,128,2,5,5,1
845_0,79,0,2,7,28,11
846_0,64,0,2,9,18,10
848_0,49,136,8,4,13,3
849_0,13,128,0,7,2,1
850_0,13,128,2,6,2,1
851_0,23,32,10,10,3,2
852_0,73,0,0,9,23,11
853_0,21,128,2,6,3,1
854_0,14,128,0,7,2,1
856_0,10,128,0,5,2,1
857_0,41,128,2,5,10,2
858_0,63,0,2,9,19,7
859_0,94,8,97,6.5,55,5
860_0,62,4,2,9,16,9
861_0,57,4,2,9,13,5
862_0,37,128,0,5,9,2
863_0,18,128,2,7,3,1
864_0,39,136,2,5,7,1
865_0,14,128,0,7,2,1
866_0,44,136,2,4,8,1
867_0,13,128,0,7,2,1
868_0,19,128,2,5,4,1
870_0,78,0,2,7,28,11
871_0,53,128,2,4,14,2
872_0,57,8,2,9,13,4
874_0,37,128,0,6,7,1
876_0,17,128,0,8,2,1
877_0,33,128,2,7,8,2
878_0,22,128,0,7,4,1
879_0,9,128,0,0,1,0
880_0,28,128,0,6,5,1
881_0,24,128,0,6,4,1
882_0,75,0,2,8,23,11
883_0,94,8,97,9,56,3
884_0,9,160,0,0,1,0
885_0,53,129,0,3,10,1
886_0,59,4,2,9,15,4.5
887_0,10,128,0,6,2,1
888_0,40,128,0,5,11,2
889_0,38,8,2,9,8,3
890_0,79,0,2,8,27,11
891_0,36,128,2,5,8,1
892_0,20,128,0,8,3,2
893_0,38,128,0,5,9,1.5
894_0,30,136,0,6,6,2
895_0,63,128,2,4,17,2
896_0,10,136,0,0,1,0
897_0,82,1,32,7,30,11
898_0,37,128,2,5,8,1
899_0,53,128,2,4,14,2
900_0,34,136,2,4,6,1
902_0,30,128,2,6,7,2
904_0,15,128,0,7,2,1
905_0,43,128,2,5,9,2
906_0,74,0,2,9,21,11
907_0,30,128,2,6,6,1
908_0,56,4,2,8.5,10,10
909_0,33,128,0,5,6,1
910_0,76,0,2,8,25,11
911_0,32,136,2,3,5,1
912_0,38,128,2,4,6,1
913_0,93,8,97,8,52,6.5
914_0,26,136,2,4,4,1
915_0,33,128,0,5,8,2
916_0,37,136,2,5,7,1
918_0,12,136,0,6,2,1
919_0,91,8,34,6,48,9
920_0,14,128,0,7,2,1
921_0,45,128,0,5,12,2
922_0,52,128,2,5,12,2
923_0,37,8,2,9,6,2
925_0,77,8,32,8,28,8
926_0,38,128,2,5,7,2
927_0,86,0,18,6,36,11
928_0,82,0,2,7,31,12
930_0,31,137,2,4,6,1
931_0,83,0,2,6,32,11.5
932_0,14,136,0,7,2,1
933_0,17,128,0,9,3,1
934_0,14,128,0,7,2,1
935_0,41,132,2,5,8,1.5
936_0,34,136,2,5,5,1
938_0,16,136,2,8,2,1
939_0,48,128,2,5,9,2
940_0,10,128,2,0,1,0
941_0,70,8,2,9,18,6
943_0,10,160,2,6,2,1
944_0,20,128,2,8,4,2
946_0,84,0,10,7,36,12
947_0,13,128,0,7,2,1
948_0,79,0,10,7,29,11.5
949_0,9,136,0,0,1,0
950_0,33,128,2,6,6,1
951_0,36,129,0,5,7,1
952_0,12,128,2,7,2,1
953_0,18,136,2,6,3,1
954_0,30,136,0,5,6,1
956_0,87,0,32,6,36,11
957_0,64,128,2,4,19,2
958_0,15,136,2,5,2,1
959_0,13,128,0,7,2,1
961_0,38,136,2,4,7,1
962_0,16,136,2,6.5,2,1
963_0,86,0,32,6,36,12
965_0,24,136,2,5,3,1
966_0,35,128,2,6,7,2
968_0,43,128,2,4,8,1
969_0,13,128,0,7,2,1
971_0,34,128,2,5,8,2
972_0,20,128,0,9,3,1
973_0,55,8,2,8,11,3
974_0,66,4,2,9,18,10
975_0,29,136,2,4,5,1
976_0,44,128,2,5,12,2
977_0,36,128,0,5,7,1
978_0,23,129,2,7,4,2
979_0,16,128,2,6,3,1
980_0,10,136,2,0,1,0
981_0,75,0,2,8,23,11
982_0,32,136,2,4,5,1
983_0,23,129,2,5,3,1
984_0,17,136,2,5,2,1
985_0,91,0,34,5,43,11
986_0,12,128,0,7,2,1
987_0,39,129,2,5,6,1
990_0,75,1,2,9,23,11
991_0,31,136,0,6,6,1
994_0,62,128,2,4,17,2
995_0,56,8,2,8,12,3
996_0,72,0,2,8,22,11
997_0,23,133,2,4,4,1
998_0,45,128,0,4,8,1
999_0,1,160,97,0,0,0
1000_0,64,0,2,9,18,6
1001_0,46,128,0,4,11,2
1002_0,29,128,0,7,5,1
1003_0,10,128,0,6,2,1
1004_0,82,0,8,7,31,10.5
1005_0,21,128,2,9,3,2
1006_0,9,136,2,0,1,0
1007_0,20,136,2,4,3,1
1008_0,37,136,2,5,6,2
1009_0,12,128,0,7,2,1
1010_0,17,128,0,9,3,1
1011_0,61,4,2,9,13,4
1016_0,50,128,0,5,11,2
1018_0,28,136,2,5,5,1
1020_0,11,128,2,6,2,1
1021_0,22,136,2,9,3,1
1022_0,22,136,2,5,3,1
1023_0,75,0,2,8,26,11
1025_0,29,136,0,5,5,1
1026_0,90,9,32,5,43,10
1027_0,38,128,0,6,7,2
1028_0,35,128,2,5,7,1
1029_0,69,0,2,8,18,10
1030_0,26,161,2,5,3,1
1031_0,47,32,2,9,9,3
1032_0,28,128,0,6,5,1
1033_0,53,136,2,4,15,2
1034_0,82,0,16,7,31,11
1035_0,40,136,2,4,7,1
1036_0,44,136,0,3,8,1
1037_0,62,128,0,4,19,2
1038_0,9,136,0,0,1,0
1039_0,43,128,0,5,10,2
1040_0,26,128,0,5,5,1
1041_0,7,160,0,0,1,0
1042_0,46,128,2,3,9,1
1043_0,45,128,0,4,12,1
1044_0,44,8,2,9,8,3
1046_0,52,4,2,9,12,3
1051_0,37,136,2,6,6,2
1052_0,61,4,2,10,14,9
