system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,BurnMonth
92440_0,121,175.5,189.5,3,1,3
92662_0,341,175,190,3,2,11
92948_0,283,175.5,189.5,3,2,9
92991_0,227,177,190,3,4,7
92997_0,246,176.5,189,3,4,8
93009_0,248,175,190,3,5,8
93039_0,199,175.5,190,3,2,6
93237_0,244,177,190,3,15,8
93244_0,344,175,190,3,5,11
93423_0,189,175,190,3,2,6
93487_0,110,174.5,189.5,3,1,3
93641_0,239,177,190,3,8,7
93851_0,284,175.5,190,3,1,9
93927_0,316,175.5,189.5,3,1,10
93939_0,239,179,190,3,1,7
94089_0,245,176.5,189.5,3,4,8
94133_0,282,176.5,190,3,2,9
94166_0,208,176.5,189.5,3,1,6
94197_0,345,174.5,190,3,7,11
94226_0,346,177.5,190,3,10,11
94286_0,234,178,190,3,1,7
94351_0,240,177.5,190,3,1,7
94406_0,193,177,189,3,2,6
94616_0,341,174.5,190,3,1,11
94673_0,212,177,189,3,4,6
94691_0,252,181,190,3,1,8
94815_0,191,175.5,190,3,3,6
94818_0,284,175,190,3,2,9
94846_0,344,174.5,190,3,5,11
95130_0,231,177.5,190,3,10,7
95516_0,198,176,190,3,2,6
95585_0,281,176.5,190,3,1,9
95784_0,200,176,190,3,2,6
96003_0,260,190,267,3,1,8
96025_0,191,174.5,189.5,3,2,6
96034_0,279,176,189,3,2,9
96140_0,200,175.5,190,3,2,6
96184_0,244,175,189,3,1,8
96231_0,227,177,190,3,8,7
96401_0,190,175.5,190,3,3,6
96475_0,346,174.5,189.5,3,8,11
96535_0,199,174.5,189.5,3,2,6
96627_0,341,175,190,3,3,11
96863_0,188,176,189.5,3,2,6
96874_0,248,177.5,190,3,5,8
96875_0,284,176,190,3,4,9
96913_0,340,175,189.5,3,3,11
96951_0,92,193,235,3,1,3
97001_0,282,176.5,190,3,2,9
97012_0,282,175.5,190,3,2,9
97038_0,282,176,190,3,1,9
97065_0,340,177.5,187,3,2,11
97156_0,343,175,190,3,1,11
97305_0,284,175,190,3,3,9
97341_0,239,179.5,216,3,8,7
97342_0,192,174.5,189.5,3,4,6
97441_0,345,174.5,190,3,3,11
97454_0,273,208,281.5,3,1,8
97549_0,211,177.5,189.5,3,1,6
97655_0,199,175.5,190,3,3,6
97863_0,283,175.5,190,3,1,9
97940_0,340,175,190,3,3,11
97979_0,339,176,190,3,2,11
98061_0,341,176.5,189.5,3,4,11
98216_0,228,177.5,190,3,1,7
98220_0,193,177,216.5,3,1,6
98313_0,289,175.5,188.5,3,7,9
98612_0,282,176,190,3,2,9
98631_0,252,177.5,189.5,3,1,8
98767_0,239,177,189,3,8,7
99297_0,272,175.5,190,3,2,8
99301_0,340,175,189.5,3,2,11
99367_0,213,176,189.5,3,2,7
99380_0,282,176.5,190,3,2,9
99583_0,193,175,189.5,3,2,6
